code,system
d7..,readv2
d8..,readv2
d9..,readv2
da..,readv2
da3..,readv2
d71..,readv2
d72..,readv2
d73..,readv2
d77..,readv2
d7f..,readv2
d74..,readv2
d75..,readv2
d7b..,readv2
d7e..,readv2
da4..,readv2
da5..,readv2
da6..,readv2
d76..,readv2
d78..,readv2
d79..,readv2
d7a..,readv2
d7c..,readv2
d7d..,readv2
d7g..,readv2
d7h..,readv2
d81..,readv2
d82..,readv2
d83..,readv2
d84..,readv2
d85..,readv2
da2..,readv2
da7..,readv2
da8.,readv2
da9..,readv2
daA..,readv2
daB..,readv2
daC..,readv2
daD..,readv2
daE.,readv2
gd1..,readv2
gd5..,readv2
gde..,readv2
